"IndicatorName","IndicatorCode","CountryName","countryCode","val"
"Population, total",SP.POP.TOTL,Afghanistan,AFG,34385068
"Population, total",SP.POP.TOTL,Albania,ALB,3204284
"Population, total",SP.POP.TOTL,Algeria,DZA,35468208
"Population, total",SP.POP.TOTL,American Samoa,ASM,68420
"Population, total",SP.POP.TOTL,Andorra,ADO,84864
"Population, total",SP.POP.TOTL,Angola,AGO,19081912
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,88710
"Population, total",SP.POP.TOTL,Arab World,ARB,347672135
"Population, total",SP.POP.TOTL,Argentina,ARG,40412376
"Population, total",SP.POP.TOTL,Armenia,ARM,3092072
"Population, total",SP.POP.TOTL,Aruba,ABW,107488
"Population, total",SP.POP.TOTL,Australia,AUS,22299800
"Population, total",SP.POP.TOTL,Austria,AUT,8389771
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9054332
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,342877
"Population, total",SP.POP.TOTL,Bahrain,BHR,1261835
"Population, total",SP.POP.TOTL,Bangladesh,BGD,148692131
"Population, total",SP.POP.TOTL,Barbados,BRB,273331
"Population, total",SP.POP.TOTL,Belarus,BLR,9490000
"Population, total",SP.POP.TOTL,Belgium,BEL,10895785
"Population, total",SP.POP.TOTL,Belize,BLZ,344700
"Population, total",SP.POP.TOTL,Benin,BEN,8849892
"Population, total",SP.POP.TOTL,Bermuda,BMU,64237
"Population, total",SP.POP.TOTL,Bhutan,BTN,725940
"Population, total",SP.POP.TOTL,Bolivia,BOL,9929849
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3760149
"Population, total",SP.POP.TOTL,Botswana,BWA,2006945
"Population, total",SP.POP.TOTL,Brazil,BRA,194946470
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,398920
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7534289
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,16468714
"Population, total",SP.POP.TOTL,Burundi,BDI,8382849
"Population, total",SP.POP.TOTL,Cambodia,KHM,14138255
"Population, total",SP.POP.TOTL,Cameroon,CMR,19598889
"Population, total",SP.POP.TOTL,Canada,CAN,34126181
"Population, total",SP.POP.TOTL,Cape Verde,CPV,495999
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,56230
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4401051
"Population, total",SP.POP.TOTL,Chad,TCD,11227208
"Population, total",SP.POP.TOTL,Channel Islands,CHI,153352
"Population, total",SP.POP.TOTL,Chile,CHL,17113688
"Population, total",SP.POP.TOTL,China,CHN,1337825000
"Population, total",SP.POP.TOTL,Colombia,COL,46294841
"Population, total",SP.POP.TOTL,Comoros,COM,734750
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,65965795
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,4042899
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4658887
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,19737800
"Population, total",SP.POP.TOTL,Croatia,HRV,4418000
"Population, total",SP.POP.TOTL,Cuba,CUB,11257979
"Population, total",SP.POP.TOTL,Cyprus,CYP,1103647
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10519792
"Population, total",SP.POP.TOTL,Denmark,DNK,5547683
"Population, total",SP.POP.TOTL,Djibouti,DJI,888716
"Population, total",SP.POP.TOTL,Dominica,DMA,67757
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,9927320
"Population, total",SP.POP.TOTL,Ecuador,ECU,14464739
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,81121077
"Population, total",SP.POP.TOTL,El Salvador,SLV,6192993
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,700401
"Population, total",SP.POP.TOTL,Eritrea,ERI,5253676
"Population, total",SP.POP.TOTL,Estonia,EST,1340161
"Population, total",SP.POP.TOTL,Ethiopia,ETH,82949541
"Population, total",SP.POP.TOTL,Faeroe Islands,FRO,48708
"Population, total",SP.POP.TOTL,Fiji,FJI,860623
"Population, total",SP.POP.TOTL,Finland,FIN,5363352
"Population, total",SP.POP.TOTL,France,FRA,65075569
"Population, total",SP.POP.TOTL,French Polynesia,PYF,270764
"Population, total",SP.POP.TOTL,Gabon,GAB,1505463
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,1728394
"Population, total",SP.POP.TOTL,Georgia,GEO,4452800
"Population, total",SP.POP.TOTL,Germany,DEU,81776930
"Population, total",SP.POP.TOTL,Ghana,GHA,24391823
"Population, total",SP.POP.TOTL,Greece,GRC,11315508
"Population, total",SP.POP.TOTL,Greenland,GRL,56533
"Population, total",SP.POP.TOTL,Grenada,GRD,104487
"Population, total",SP.POP.TOTL,Guam,GUM,179896
"Population, total",SP.POP.TOTL,Guatemala,GTM,14388929
"Population, total",SP.POP.TOTL,Guinea,GIN,9981590
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1515224
